customer_key,transaction_count,transaction_value,fraud_transaction_count,fraud_rate_pct,fraud_loss,average_transaction_amount
26153,114,13233.38,5.0,4.386,3167.79,116.08
17596,107,11638.07,4.0,3.7383,3161.78,108.77
26420,102,11135.98,4.0,3.9216,3153.09,109.18
13987,154,16713.2,4.0,2.5974,3147.8,108.53
43542,54,8438.84,1.0,1.8519,3143.17,156.27
15813,169,17600.29,6.0,3.5503,3142.45,104.14
14041,90,9912.21,3.0,3.3333,3142.02,110.14
29450,120,12819.96,2.0,1.6667,3133.77,106.83
16270,62,9538.36,3.0,4.8387,3130.23,153.84
24209,32,7479.22,3.0,9.375,3119.38,233.73
24162,108,15149.88,5.0,4.6296,3113.71,140.28
18705,82,10654.62,5.0,6.0976,3112.65,129.93
33589,124,13440.85,3.0,2.4194,3108.35,108.39
22383,154,17539.22,4.0,2.5974,3100.83,113.89
427,104,12360.06,3.0,2.8846,3094.74,118.85
11146,34,7011.64,3.0,8.8235,3091.32,206.22
20299,79,9354.06,3.0,3.7975,3090.73,118.41
22902,63,9425.21,3.0,4.7619,3084.34,149.61
5643,104,13110.4,5.0,4.8077,3084.14,126.06
13777,60,7909.99,4.0,6.6667,3072.14,131.83
22291,66,8804.74,1.0,1.5152,3062.41,133.41
45279,96,12262.37,2.0,2.0833,3059.75,127.73
33506,130,13924.24,3.0,2.3077,3056.02,107.11
23438,99,14884.84,3.0,3.0303,3053.2,150.35
14123,27,6056.01,4.0,14.8148,3051.47,224.3
2028,238,24313.0,3.0,1.2605,3042.33,102.16
21143,65,10838.2,3.0,4.6154,3040.62,166.74
7214,165,16807.58,3.0,1.8182,3035.85,101.86
37221,64,9465.8,4.0,6.25,3034.65,147.9
49686,73,12616.77,4.0,5.4795,3034.2,172.83
28013,85,11109.94,3.0,3.5294,3033.82,130.71
37691,59,9206.95,2.0,3.3898,3032.35,156.05
7322,100,12113.71,3.0,3.0,3023.0,121.14
30345,100,12091.72,5.0,5.0,3014.54,120.92
20997,40,6259.92,1.0,2.5,2976.24,156.5
27016,89,11453.31,3.0,3.3708,2973.49,128.69
41584,142,15441.72,7.0,4.9296,2960.19,108.74
9548,65,8869.58,3.0,4.6154,2957.32,136.46
2636,145,16299.52,7.0,4.8276,2954.6,112.41
38503,62,9683.24,3.0,4.8387,2946.07,156.18
48995,102,12288.89,3.0,2.9412,2927.0,120.48
2606,140,17379.86,4.0,2.8571,2925.28,124.14
49496,70,10209.7,2.0,2.8571,2924.83,145.85
8151,104,13647.77,2.0,1.9231,2920.96,131.23
37042,194,18859.34,6.0,3.0928,2920.92,97.21
20806,103,12226.77,6.0,5.8252,2904.39,118.71
14605,124,14867.62,3.0,2.4194,2901.89,119.9
21101,160,19971.22,3.0,1.875,2895.52,124.82
12532,120,12819.04,4.0,3.3333,2890.85,106.83
29685,87,10524.17,2.0,2.2989,2886.88,120.97
19761,118,13919.45,4.0,3.3898,2870.59,117.96
41418,134,13508.23,4.0,2.9851,2867.46,100.81
34319,150,16082.11,4.0,2.6667,2856.29,107.21
6960,156,19097.0,4.0,2.5641,2855.67,122.42
43516,120,13815.41,4.0,3.3333,2850.0,115.13
1798,56,7430.81,4.0,7.1429,2849.27,132.69
44481,62,9876.34,2.0,3.2258,2842.36,159.3
16216,121,12899.07,2.0,1.6529,2819.41,106.6
40400,39,6374.83,3.0,7.6923,2814.8,163.46
25431,26,4842.87,1.0,3.8462,2809.03,186.26
20880,122,13540.35,5.0,4.0984,2805.22,110.99
21811,58,7172.19,3.0,5.1724,2804.63,123.66
15679,35,6979.29,2.0,5.7143,2803.56,199.41
7121,93,11861.81,3.0,3.2258,2798.26,127.55
32973,65,8039.44,5.0,7.6923,2783.34,123.68
14018,170,17473.82,4.0,2.3529,2778.75,102.79
8205,73,9806.31,3.0,4.1096,2775.94,134.33
10061,36,5315.05,2.0,5.5556,2771.79,147.64
20574,40,5804.72,4.0,10.0,2755.18,145.12
4894,59,10080.96,1.0,1.6949,2743.88,170.86
36635,64,8462.36,1.0,1.5625,2740.15,132.22
40120,92,12641.59,3.0,3.2609,2739.08,137.41
8366,162,19582.18,5.0,3.0864,2732.46,120.88
22207,114,12807.81,2.0,1.7544,2728.48,112.35
43973,107,13364.02,7.0,6.5421,2727.38,124.9
28927,21,5972.65,1.0,4.7619,2726.59,284.41
36579,100,12255.47,2.0,2.0,2725.58,122.55
16335,52,8908.45,2.0,3.8462,2724.13,171.32
40,154,17331.5,7.0,4.5455,2714.05,112.54
43041,134,13763.92,5.0,3.7313,2710.3,102.72
22397,133,13357.91,2.0,1.5038,2710.24,100.44
44755,79,9081.25,2.0,2.5316,2710.04,114.95
29008,60,8050.86,3.0,5.0,2708.82,134.18
2072,51,9876.02,4.0,7.8431,2708.4,193.65
29693,36,6463.06,2.0,5.5556,2707.21,179.53
28294,127,13512.58,6.0,4.7244,2693.06,106.4
8611,35,7039.08,2.0,5.7143,2688.07,201.12
9952,80,8921.41,4.0,5.0,2680.48,111.52
36827,27,5081.22,2.0,7.4074,2671.95,188.19
14648,73,8387.26,4.0,5.4795,2654.78,114.89
22733,28,5802.11,2.0,7.1429,2652.03,207.22
25796,88,12242.29,6.0,6.8182,2644.34,139.12
39593,33,5556.03,2.0,6.0606,2642.97,168.36
26780,108,11628.14,5.0,4.6296,2641.29,107.67
37617,114,13572.56,4.0,3.5088,2639.59,119.06
26712,63,8786.77,5.0,7.9365,2639.53,139.47
34700,97,12098.81,2.0,2.0619,2624.88,124.73
25336,111,10979.17,4.0,3.6036,2614.98,98.91
34844,112,13739.32,4.0,3.5714,2611.01,122.67
32470,38,6106.42,6.0,15.7895,2606.87,160.7
9956,58,6948.05,4.0,6.8966,2601.07,119.79
30649,119,13477.43,7.0,5.8824,2599.99,113.26
6628,100,11788.1,4.0,4.0,2599.36,117.88
15045,141,16867.52,7.0,4.9645,2591.47,119.63
41524,122,12978.79,3.0,2.459,2590.37,106.38
22415,61,8604.18,3.0,4.918,2588.82,141.05
15605,235,23422.93,5.0,2.1277,2586.62,99.67
27226,27,4851.01,1.0,3.7037,2583.75,179.67
35876,32,4500.02,2.0,6.25,2578.24,140.63
30947,102,11598.1,3.0,2.9412,2575.01,113.71
3976,101,10207.86,5.0,4.9505,2570.54,101.07
38223,85,10275.85,4.0,4.7059,2568.72,120.89
25212,61,8252.07,3.0,4.918,2566.59,135.28
22594,141,15414.95,6.0,4.2553,2557.13,109.33
45973,106,11083.88,1.0,0.9434,2554.98,104.56
17587,127,12327.82,4.0,3.1496,2554.5,97.07
20788,151,13550.29,3.0,1.9868,2548.75,89.74
37292,62,9130.6,2.0,3.2258,2546.72,147.27
26227,129,15042.07,4.0,3.1008,2545.03,116.61
39757,137,14444.61,4.0,2.9197,2543.67,105.44
32348,102,12479.19,5.0,4.902,2542.52,122.35
33568,37,5559.24,1.0,2.7027,2542.08,150.25
34360,74,7856.31,1.0,1.3514,2539.35,106.17
19185,89,11146.94,4.0,4.4944,2533.22,125.25
2631,87,10827.83,4.0,4.5977,2530.36,124.46
29501,37,6384.9,3.0,8.1081,2524.64,172.56
43325,23,6375.44,1.0,4.3478,2524.42,277.19
45564,71,8535.58,6.0,8.4507,2521.86,120.22
29604,59,7393.5,2.0,3.3898,2518.04,125.31
27645,61,8558.4,4.0,6.5574,2506.4,140.3
43127,67,9606.85,6.0,8.9552,2502.02,143.39
21119,123,13675.17,7.0,5.6911,2499.04,111.18
37966,121,13180.27,6.0,4.9587,2496.46,108.93
20454,169,17438.79,6.0,3.5503,2495.65,103.19
8811,102,12226.58,4.0,3.9216,2491.51,119.87
19986,94,9658.3,5.0,5.3191,2490.74,102.75
20425,79,9457.57,2.0,2.5316,2488.78,119.72
31760,101,11512.97,4.0,3.9604,2484.61,113.99
28003,64,7678.22,3.0,4.6875,2484.55,119.97
33954,214,19958.22,3.0,1.4019,2476.76,93.26
28178,80,10090.33,9.0,11.25,2474.89,126.13
35974,123,13705.77,3.0,2.439,2472.5,111.43
40940,62,8899.47,5.0,8.0645,2465.88,143.54
37775,67,8398.61,5.0,7.4627,2460.71,125.35
7047,151,16369.89,4.0,2.649,2458.59,108.41
1773,120,13956.3,5.0,4.1667,2458.25,116.3
1445,124,13940.75,4.0,3.2258,2458.13,112.43
28116,91,10127.4,4.0,4.3956,2448.05,111.29
16517,106,11914.42,3.0,2.8302,2431.1,112.4
41469,53,7568.02,1.0,1.8868,2427.88,142.79
29089,97,10721.69,2.0,2.0619,2427.55,110.53
8392,31,5990.6,1.0,3.2258,2427.48,193.25
20993,132,15363.37,4.0,3.0303,2426.04,116.39
44529,66,8119.33,3.0,4.5455,2425.97,123.02
35037,79,9040.04,5.0,6.3291,2425.41,114.43
46700,65,9700.05,1.0,1.5385,2418.41,149.23
7006,83,10688.39,5.0,6.0241,2414.16,128.78
24373,132,15807.73,2.0,1.5152,2404.9,119.76
7052,101,12111.27,3.0,2.9703,2401.71,119.91
2658,84,10779.39,5.0,5.9524,2398.69,128.33
27379,126,13422.99,3.0,2.381,2397.67,106.53
5135,94,11689.24,4.0,4.2553,2397.42,124.35
6119,133,15268.29,3.0,2.2556,2397.36,114.8
10008,63,7334.46,4.0,6.3492,2396.82,116.42
43556,117,11292.18,4.0,3.4188,2384.73,96.51
37805,61,8002.43,2.0,3.2787,2383.5,131.19
49078,62,7971.96,2.0,3.2258,2383.0,128.58
7024,66,8411.44,3.0,4.5455,2380.02,127.45
38450,152,16434.79,7.0,4.6053,2379.76,108.12
45730,35,5999.04,2.0,5.7143,2378.5,171.4
30928,129,15413.86,4.0,3.1008,2378.38,119.49
20529,56,7363.41,2.0,3.5714,2376.83,131.49
12149,166,19423.98,6.0,3.6145,2375.82,117.01
43729,95,11342.03,5.0,5.2632,2375.73,119.39
32733,68,8634.61,3.0,4.4118,2374.29,126.98
34807,76,9575.93,4.0,5.2632,2369.79,126.0
4426,164,16424.62,5.0,3.0488,2369.33,100.15
18037,196,19564.01,6.0,3.0612,2368.45,99.82
22933,85,10260.81,5.0,5.8824,2368.29,120.72
33356,31,5442.95,3.0,9.6774,2365.82,175.58
47733,65,8741.73,5.0,7.6923,2364.48,134.49
22849,139,14241.03,6.0,4.3165,2361.33,102.45
4060,96,10403.52,4.0,4.1667,2357.29,108.37
11883,115,11894.94,4.0,3.4783,2351.62,103.43
44216,124,11645.63,3.0,2.4194,2347.36,93.92
36172,47,6868.42,2.0,4.2553,2347.29,146.14
22771,92,11742.58,1.0,1.087,2345.33,127.64
29895,62,7632.76,2.0,3.2258,2343.1,123.11
44058,88,10315.87,3.0,3.4091,2340.22,117.23
37299,72,8402.44,3.0,4.1667,2337.53,116.7
12415,59,6021.29,2.0,3.3898,2334.44,102.06
46823,79,10093.34,3.0,3.7975,2332.49,127.76
39953,63,7449.12,4.0,6.3492,2324.45,118.24
16302,102,11421.58,3.0,2.9412,2321.18,111.98
793,70,8224.78,4.0,5.7143,2320.95,117.5
5371,109,12780.29,2.0,1.8349,2319.53,117.25
14839,75,9499.94,2.0,2.6667,2319.48,126.67
22299,74,8291.06,3.0,4.0541,2319.12,112.04
31486,199,21570.01,4.0,2.0101,2318.55,108.39
28657,43,5186.33,3.0,6.9767,2317.28,120.61
39701,207,19632.07,7.0,3.3816,2312.76,94.84
44288,68,7929.14,3.0,4.4118,2311.36,116.61
39743,60,8783.98,3.0,5.0,2309.97,146.4
18583,119,12907.88,5.0,4.2017,2307.79,108.47
46583,95,11605.55,4.0,4.2105,2307.2,122.16
1791,115,12117.88,3.0,2.6087,2307.02,105.37
25932,176,19765.76,5.0,2.8409,2306.83,112.31
22445,188,19247.75,6.0,3.1915,2306.22,102.38
9678,104,11993.22,3.0,2.8846,2302.54,115.32
32019,61,8488.78,1.0,1.6393,2298.19,139.16
39799,127,14199.8,5.0,3.937,2296.81,111.81
45796,38,6008.53,3.0,7.8947,2293.79,158.12
45948,101,10534.55,3.0,2.9703,2292.4,104.3
30642,111,12404.37,3.0,2.7027,2289.64,111.75
42375,95,10323.67,4.0,4.2105,2288.75,108.67
8739,38,5915.4,1.0,2.6316,2287.18,155.67
2168,69,8154.09,2.0,2.8986,2284.87,118.18
26564,72,8752.24,3.0,4.1667,2284.64,121.56
4761,134,14538.18,3.0,2.2388,2278.73,108.49
24246,100,10109.25,2.0,2.0,2277.1,101.09
15905,63,7398.31,4.0,6.3492,2276.94,117.43
9239,57,6212.91,3.0,5.2632,2276.34,109.0
18294,183,19736.73,3.0,1.6393,2275.4,107.85
23338,158,16412.85,5.0,3.1646,2274.52,103.88
24837,177,18452.8,3.0,1.6949,2274.1,104.25
7946,75,9592.72,5.0,6.6667,2273.88,127.9
28684,141,13074.3,6.0,4.2553,2273.87,92.73
9247,111,10940.43,4.0,3.6036,2272.21,98.56
40756,131,13989.31,6.0,4.5802,2269.91,106.79
27233,63,8854.09,3.0,4.7619,2267.46,140.54
41814,81,8692.32,6.0,7.4074,2267.37,107.31
377,29,5748.03,1.0,3.4483,2266.53,198.21
18076,59,5910.09,2.0,3.3898,2265.28,100.17
36079,52,7655.25,2.0,3.8462,2264.45,147.22
12729,123,11811.66,4.0,3.252,2263.78,96.03
2426,106,10826.5,3.0,2.8302,2263.3,102.14
246,126,11925.22,2.0,1.5873,2262.54,94.64
4597,62,8105.35,1.0,1.6129,2259.63,130.73
31568,38,5026.54,1.0,2.6316,2259.54,132.28
37528,83,7962.21,4.0,4.8193,2258.91,95.93
13778,98,12711.04,4.0,4.0816,2258.6,129.7
325,91,12404.25,1.0,1.0989,2256.36,136.31
11337,88,9199.95,3.0,3.4091,2253.06,104.54
1156,140,15629.16,4.0,2.8571,2250.57,111.64
33111,112,12220.38,4.0,3.5714,2242.6,109.11
13559,133,13590.95,5.0,3.7594,2242.21,102.19
13214,94,10229.87,2.0,2.1277,2239.6,108.83
9923,104,10575.11,3.0,2.8846,2238.85,101.68
34175,103,11307.94,3.0,2.9126,2235.08,109.79
44823,29,6368.02,1.0,3.4483,2233.74,219.59
47049,33,5171.62,2.0,6.0606,2231.78,156.72
12084,103,12174.48,5.0,4.8544,2231.61,118.2
11686,86,11009.36,2.0,2.3256,2231.56,128.02
21877,116,12945.49,3.0,2.5862,2231.16,111.6
26829,57,8050.23,3.0,5.2632,2230.87,141.23
34372,34,5632.81,1.0,2.9412,2227.16,165.67
13171,53,6927.83,3.0,5.6604,2226.72,130.71
16771,97,10131.95,3.0,3.0928,2225.82,104.45
26463,162,15416.75,5.0,3.0864,2222.3,95.17
42437,22,4561.31,1.0,4.5455,2211.14,207.33
7635,141,13586.65,4.0,2.8369,2210.51,96.36
10632,102,10892.48,5.0,4.902,2207.59,106.79
49952,74,8001.8,3.0,4.0541,2206.56,108.13
16140,105,10817.71,5.0,4.7619,2204.79,103.03
14587,45,6208.42,1.0,2.2222,2201.21,137.96
18859,105,12292.58,4.0,3.8095,2198.75,117.07
23536,124,14423.98,3.0,2.4194,2198.21,116.32
27719,20,4124.84,2.0,10.0,2198.04,206.24
41139,115,12835.85,2.0,1.7391,2195.32,111.62
6059,31,5540.82,4.0,12.9032,2193.3,178.74
21766,56,6650.93,3.0,5.3571,2193.16,118.77
5128,92,7518.58,2.0,2.1739,2192.35,81.72
17860,58,9047.56,4.0,6.8966,2191.03,155.99
11279,96,10734.88,3.0,3.125,2190.11,111.82
3766,117,11807.38,7.0,5.9829,2189.94,100.92
31957,65,7541.32,3.0,4.6154,2189.26,116.02
38343,57,7062.54,5.0,8.7719,2184.38,123.9
16634,64,7451.79,2.0,3.125,2182.67,116.43
10555,64,8471.74,3.0,4.6875,2181.87,132.37
44995,33,4611.65,1.0,3.0303,2180.05,139.75
37174,90,10217.76,3.0,3.3333,2179.72,113.53
40679,31,4908.86,2.0,6.4516,2178.09,158.35
23860,67,7852.13,3.0,4.4776,2176.74,117.2
1302,103,12317.53,4.0,3.8835,2175.59,119.59
33536,163,16058.21,5.0,3.0675,2174.03,98.52
26039,32,5175.03,2.0,6.25,2174.02,161.72
46967,73,8810.47,5.0,6.8493,2173.9,120.69
1855,83,8241.9,1.0,1.2048,2172.19,99.3
18221,94,11427.19,4.0,4.2553,2171.66,121.57
27846,81,9957.19,6.0,7.4074,2171.17,122.93
4780,66,7251.47,3.0,4.5455,2170.5,109.87
24711,25,4936.87,1.0,4.0,2169.08,197.47
27319,45,6040.59,2.0,4.4444,2168.56,134.24
24476,118,13054.98,4.0,3.3898,2168.23,110.64
41589,34,5849.23,1.0,2.9412,2164.87,172.04
31531,89,10771.42,4.0,4.4944,2164.64,121.03
38880,90,9204.26,3.0,3.3333,2163.8,102.27
26177,29,4787.58,1.0,3.4483,2157.58,165.09
6917,60,7678.55,3.0,5.0,2156.76,127.98
43553,139,15015.86,5.0,3.5971,2155.64,108.03
25208,60,9232.26,2.0,3.3333,2154.37,153.87
35461,113,13297.23,5.0,4.4248,2153.97,117.67
5108,166,16340.65,7.0,4.2169,2153.34,98.44
41494,152,15256.98,6.0,3.9474,2153.23,100.37
13381,63,8564.12,4.0,6.3492,2151.95,135.94
41089,125,13588.51,3.0,2.4,2151.29,108.71
10727,82,11380.53,1.0,1.2195,2150.42,138.79
43582,67,7921.16,4.0,5.9701,2150.2,118.23
42079,123,11671.96,4.0,3.252,2145.1,94.89
16911,56,6647.09,1.0,1.7857,2144.28,118.7
8146,37,4560.31,2.0,5.4054,2144.14,123.25
45965,99,11899.92,2.0,2.0202,2141.21,120.2
41927,161,15431.86,4.0,2.4845,2139.06,95.85
28984,106,10828.41,4.0,3.7736,2137.83,102.15
27000,29,5794.1,3.0,10.3448,2135.73,199.8
9624,174,16421.06,5.0,2.8736,2130.85,94.37
49275,91,9641.54,3.0,3.2967,2128.08,105.95
47326,150,18231.15,5.0,3.3333,2127.58,121.54
19462,87,10505.77,5.0,5.7471,2126.24,120.76
48387,175,18079.66,3.0,1.7143,2124.46,103.31
36367,81,9763.94,4.0,4.9383,2122.36,120.54
30057,108,10362.49,3.0,2.7778,2120.5,95.95
44747,41,5600.84,1.0,2.439,2120.28,136.61
28746,69,7942.51,5.0,7.2464,2119.59,115.11
32905,78,8712.14,4.0,5.1282,2119.25,111.69
3607,74,9888.37,3.0,4.0541,2119.11,133.63
41400,165,15878.43,3.0,1.8182,2118.8,96.23
24132,145,13679.54,5.0,3.4483,2117.36,94.34
16867,87,12190.28,4.0,4.5977,2117.23,140.12
49557,99,11200.5,4.0,4.0404,2116.55,113.14
6273,100,12861.01,4.0,4.0,2113.96,128.61
44019,101,9593.52,4.0,3.9604,2111.49,94.99
28551,120,10656.62,5.0,4.1667,2110.01,88.81
28497,35,7514.0,1.0,2.8571,2109.23,214.69
16592,26,4952.13,1.0,3.8462,2107.96,190.47
39578,24,4514.3,2.0,8.3333,2106.05,188.1
43021,80,8307.09,3.0,3.75,2103.86,103.84
32542,117,13227.43,4.0,3.4188,2103.46,113.05
27815,135,14215.65,3.0,2.2222,2102.18,105.3
49975,145,15189.25,5.0,3.4483,2097.19,104.75
21960,137,13824.81,5.0,3.6496,2097.08,100.91
20642,56,7103.45,2.0,3.5714,2095.83,126.85
44067,58,7894.79,3.0,5.1724,2091.63,136.12
10851,94,10027.38,6.0,6.383,2091.17,106.67
14685,98,10861.44,5.0,5.102,2091.06,110.83
41600,169,18500.68,3.0,1.7751,2089.66,109.47
35177,55,7507.84,4.0,7.2727,2089.63,136.51
49510,65,8331.33,4.0,6.1538,2089.22,128.17
3382,106,10713.92,3.0,2.8302,2089.11,101.07
33404,100,9881.03,3.0,3.0,2088.57,98.81
36970,121,11680.79,6.0,4.9587,2087.24,96.54
36770,132,12956.3,3.0,2.2727,2086.7,98.15
26321,62,7016.81,3.0,4.8387,2085.74,113.17
46805,123,11212.19,4.0,3.252,2084.43,91.16
140,129,14834.06,6.0,4.6512,2084.1,114.99
36593,58,7372.39,2.0,3.4483,2084.06,127.11
2345,61,7953.39,5.0,8.1967,2083.47,130.38
38749,61,7367.85,4.0,6.5574,2081.68,120.78
23597,68,8230.35,3.0,4.4118,2081.46,121.03
27487,80,7666.8,4.0,5.0,2080.99,95.83
37392,154,17394.97,2.0,1.2987,2080.49,112.95
48395,118,12435.22,3.0,2.5424,2079.48,105.38
16251,156,15475.86,3.0,1.9231,2072.08,99.2
19726,61,7748.68,2.0,3.2787,2072.08,127.03
43608,95,8404.82,3.0,3.1579,2071.21,88.47
39085,94,9144.19,5.0,5.3191,2068.4,97.28
9222,91,8099.48,4.0,4.3956,2067.92,89.01
6308,83,10015.5,1.0,1.2048,2066.32,120.67
29572,73,8982.04,1.0,1.3699,2063.03,123.04
27519,100,10575.25,3.0,3.0,2061.38,105.75
42237,112,11460.43,4.0,3.5714,2060.51,102.33
41776,101,12686.67,3.0,2.9703,2058.41,125.61
23117,24,4686.89,2.0,8.3333,2055.29,195.29
19844,96,11839.83,3.0,3.125,2053.62,123.33
19301,96,10062.54,4.0,4.1667,2050.38,104.82
40898,25,3872.85,1.0,4.0,2050.26,154.91
3750,103,12411.62,6.0,5.8252,2048.46,120.5
6087,74,8838.01,3.0,4.0541,2046.51,119.43
4949,65,8176.01,4.0,6.1538,2043.71,125.78
32962,85,9802.53,4.0,4.7059,2042.95,115.32
9526,34,5917.12,1.0,2.9412,2042.62,174.03
47402,152,14482.67,6.0,3.9474,2042.31,95.28
30736,31,4586.05,2.0,6.4516,2041.85,147.94
30340,94,9884.35,2.0,2.1277,2039.48,105.15
34151,52,7144.72,1.0,1.9231,2038.62,137.4
25145,70,7798.1,5.0,7.1429,2036.99,111.4
3487,97,10748.5,5.0,5.1546,2036.81,110.81
38451,85,9978.89,3.0,3.5294,2033.67,117.4
36873,27,3912.79,2.0,7.4074,2030.48,144.92
11285,59,7221.33,3.0,5.0847,2029.72,122.4
30546,55,7515.97,2.0,3.6364,2029.6,136.65
44979,74,7713.53,2.0,2.7027,2028.93,104.24
745,84,9864.99,3.0,3.5714,2028.78,117.44
47552,52,7601.23,2.0,3.8462,2028.5,146.18
3052,130,13229.12,2.0,1.5385,2026.85,101.76
929,121,13094.24,3.0,2.4793,2026.69,108.22
16939,55,7083.95,2.0,3.6364,2026.05,128.8
19703,79,8077.2,4.0,5.0633,2024.76,102.24
39962,101,10300.32,6.0,5.9406,2022.57,101.98
23561,78,8473.06,2.0,2.5641,2022.51,108.63
40694,71,7532.5,3.0,4.2254,2020.97,106.09
10593,75,10007.04,5.0,6.6667,2017.51,133.43
75,97,8886.15,1.0,1.0309,2017.2,91.61
4229,144,13487.23,3.0,2.0833,2017.03,93.66
29999,66,7343.85,2.0,3.0303,2014.59,111.27
26551,56,7072.41,4.0,7.1429,2014.2,126.29
19435,72,9263.37,3.0,4.1667,2013.02,128.66
49868,68,8626.95,3.0,4.4118,2011.45,126.87
19631,85,8007.64,3.0,3.5294,2010.28,94.21
16396,74,9395.37,4.0,5.4054,2009.01,126.96
44648,126,14116.72,3.0,2.381,2008.53,112.04
29366,66,9264.83,1.0,1.5152,2007.29,140.38
38392,98,11154.17,4.0,4.0816,2002.2,113.82
43561,188,17290.52,5.0,2.6596,2001.84,91.97
9288,74,8667.41,4.0,5.4054,2001.56,117.13
29263,98,13243.42,4.0,4.0816,2001.19,135.14
29959,78,8894.69,3.0,3.8462,1999.54,114.03
48427,72,7200.7,3.0,4.1667,1999.02,100.01
7362,106,12832.0,4.0,3.7736,1998.11,121.06
17539,144,13157.09,5.0,3.4722,1995.23,91.37
7820,106,11832.09,4.0,3.7736,1991.0,111.62
13433,121,12610.48,6.0,4.9587,1990.71,104.22
6766,55,7207.26,2.0,3.6364,1990.41,131.04
17618,87,9274.77,3.0,3.4483,1990.33,106.61
30206,72,6509.06,2.0,2.7778,1989.61,90.4
27562,34,6186.73,2.0,5.8824,1989.49,181.96
24445,92,10731.6,3.0,3.2609,1988.9,116.65
48514,30,5855.28,1.0,3.3333,1988.68,195.18
22143,97,10112.76,3.0,3.0928,1987.19,104.26
30502,61,7330.54,4.0,6.5574,1985.94,120.17
46396,124,12438.94,2.0,1.6129,1985.79,100.31
13518,56,6779.63,2.0,3.5714,1984.81,121.06
381,89,10974.52,5.0,5.618,1983.37,123.31
44080,67,9517.72,3.0,4.4776,1982.72,142.06
19834,63,7738.96,3.0,4.7619,1982.15,122.84
28849,103,10328.65,5.0,4.8544,1979.97,100.28
49183,38,5354.16,2.0,5.2632,1976.05,140.9
42354,98,10571.25,3.0,3.0612,1974.95,107.87
5074,64,9399.0,3.0,4.6875,1971.5,146.86
7550,206,20035.14,3.0,1.4563,1971.43,97.26
12301,79,7953.21,4.0,5.0633,1970.59,100.67
47968,83,8591.95,3.0,3.6145,1968.32,103.52
44877,103,13095.77,4.0,3.8835,1967.97,127.14
36305,59,8704.07,2.0,3.3898,1967.47,147.53
37909,57,6587.37,5.0,8.7719,1967.45,115.57
47434,117,12063.25,3.0,2.5641,1965.96,103.1
35120,62,7407.81,2.0,3.2258,1965.74,119.48
20496,141,13744.53,3.0,2.1277,1965.68,97.48
39523,68,6796.56,3.0,4.4118,1960.62,99.95
41594,99,12042.18,4.0,4.0404,1959.49,121.64
40338,35,4329.92,2.0,5.7143,1958.2,123.71
29215,34,4715.08,1.0,2.9412,1957.48,138.68
40763,165,17348.29,5.0,3.0303,1956.91,105.14
34371,64,9829.98,2.0,3.125,1955.84,153.59
18710,33,5043.6,4.0,12.1212,1955.14,152.84
